,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
0,The Land Girls,146083,146083,NA,8000000.0,12-Jun-98,R,NA,Gramercy,NA,NA,NA,NA,NA,6.1,1071.0
1,"First Love, Last Rites",10876,10876,NA,300000.0,07-Aug-98,R,NA,Strand,NA,Drama,NA,NA,NA,6.9,207.0
2,I Married a Strange Person,203134,203134,NA,250000.0,28-Aug-98,NA,NA,Lionsgate,NA,Comedy,NA,NA,NA,6.8,865.0
3,Let's Talk About Sex,373615,373615,NA,300000.0,11-Sep-98,NA,NA,Fine Line,NA,Comedy,NA,NA,13.0,NA,NA
4,Slam,1009819,1087521,NA,1000000.0,09-Oct-98,R,NA,Trimark,Original Screenplay,Drama,Contemporary Fiction,NA,62.0,3.4,165.0
5,Mississippi Mermaid,24551,2624551,NA,1600000.0,15-Jan-99,NA,NA,MGM,NA,NA,NA,NA,NA,NA,NA
6,Following,44705,44705,NA,6000.0,04-Apr-99,R,NA,Zeitgeist,NA,NA,NA,Christopher Nolan,NA,7.7,15133.0
7,Foolish,6026908,6026908,NA,1600000.0,09-Apr-99,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,3.8,353.0
8,Pirates,1641825,6341825,NA,40000000.0,01-Jul-86,R,NA,NA,NA,NA,NA,Roman Polanski,25.0,5.8,3275.0
9,Duel in the Sun,20400000,20400000,NA,6000000.0,31-Dec-46,NA,NA,NA,NA,NA,NA,NA,86.0,7.0,2906.0
10,Tom Jones,37600000,37600000,NA,1000000.0,07-Oct-63,NA,NA,NA,NA,NA,NA,NA,81.0,7.0,4035.0
11,Oliver!,37402877,37402877,NA,10000000.0,11-Dec-68,NA,NA,Sony Pictures,NA,Musical,NA,NA,84.0,7.5,9111.0
12,To Kill A Mockingbird,13129846,13129846,NA,2000000.0,25-Dec-62,NA,NA,Universal,NA,NA,NA,NA,97.0,8.4,82786.0
13,"Tora, Tora, Tora",29548291,29548291,NA,25000000.0,23-Sep-70,NA,NA,NA,NA,NA,NA,Richard Fleischer,NA,NA,NA
14,Hollywood Shuffle,5228617,5228617,NA,100000.0,01-Mar-87,NA,NA,NA,NA,NA,NA,NA,87.0,6.8,1532.0
15,Over the Hill to the Poorhouse,3000000,3000000,NA,100000.0,17-Sep-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Wilson,2000000,2000000,NA,5200000.0,01-Aug-44,NA,NA,NA,NA,NA,NA,NA,NA,7.0,451.0
17,Darling Lili,5000000,5000000,NA,22000000.0,01-Jan-70,NA,NA,NA,NA,NA,NA,Blake Edwards,NA,6.1,858.0
18,The Ten Commandments,80000000,80000000,NA,13500000.0,05-Oct-56,NA,NA,NA,NA,NA,NA,NA,90.0,2.5,1677.0
19,12 Angry Men,0,0,NA,340000.0,13-Apr-57,NA,NA,United Artists,Original Screenplay,Drama,NA,Sidney Lumet,NA,8.9,119101.0
20,Twelve Monkeys,57141459,168841459,NA,29000000.0,27-Dec-95,R,NA,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,NA,8.1,169858.0
21,1776,0,0,NA,4000000.0,09-Nov-72,PG,NA,Sony/Columbia,Based on Play,Drama,Historical Fiction,NA,57.0,7.0,4099.0
22,1941,34175000,94875000,NA,32000000.0,14-Dec-79,NA,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0
23,Chacun sa nuit,18435,18435,NA,1900000.0,29-Jun-07,Not Rated,NA,Strand,Original Screenplay,Thriller/Suspense,NA,NA,NA,6.3,365.0
24,2001: A Space Odyssey,56700000,68700000,NA,10500000.0,02-Apr-68,NA,NA,NA,Original Screenplay,NA,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0
25,"20,000 Leagues Under the Sea",28200000,28200000,NA,5000000.0,23-Dec-54,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,NA,Richard Fleischer,92.0,NA,NA
26,"20,000 Leagues Under the Sea",8000000,8000000,NA,200000.0,24-Dec-16,NA,NA,NA,Based on Book/Short Story,Adventure,NA,NA,NA,NA,NA
27,24 7: Twenty Four Seven,72544,72544,NA,2000000.0,15-Apr-98,R,NA,October Films,Original Screenplay,Comedy,NA,Shane Meadows,NA,6.9,1417.0
28,Twin Falls Idaho,985341,1027228,NA,500000.0,30-Jul-99,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0
29,Three Kingdoms: Resurrection of the Dragon,0,22139590,NA,20000000.0,03-Apr-08,R,NA,NA,Based on Book/Short Story,Action,Historical Fiction,NA,NA,NA,NA
30,3 Men and a Baby,167780960,167780960,NA,15000000.0,25-Nov-87,NA,NA,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,NA,5.7,16764.0
31,3 Ninjas Kick Back,11744960,11744960,NA,20000000.0,06-May-94,PG,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,NA,17.0,3.2,3107.0
32,Forty Shades of Blue,75828,172569,NA,1500000.0,28-Sep-05,R,NA,Vitagraph Films,Original Screenplay,Drama,NA,NA,NA,6.0,873.0
33,42nd Street,2300000,2300000,NA,439000.0,09-Mar-33,NA,NA,Warner Bros.,Based on Book/Short Story,Musical,NA,NA,95.0,7.7,4263.0
34,Four Rooms,4301000,4301000,NA,4000000.0,25-Dec-95,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0
35,The Four Seasons,42488161,42488161,NA,6500000.0,22-May-81,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71.0,7.0,1814.0
36,Four Weddings and a Funeral,52700832,242895809,NA,4500000.0,09-Mar-94,R,NA,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96.0,7.1,39003.0
37,51 Birch Street,84689,84689,NA,350000.0,18-Oct-06,Not Rated,NA,Truly Indie,NA,NA,NA,NA,97.0,7.4,439.0
38,55 Days at Peking,10000000,10000000,NA,17000000.0,NA,NA,NA,NA,Original Screenplay,Drama,NA,NA,57.0,6.8,2104.0
39,Nine 1/2 Weeks,6734844,6734844,NA,18000000.0,21-Feb-86,NA,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,NA,5.4,12731.0
40,AstÈrix aux Jeux Olympiques,999811,132999811,NA,113500000.0,04-Jul-08,Not Rated,NA,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,NA,NA,4.9,5620.0
41,The Abyss,54243125,54243125,NA,70000000.0,09-Aug-89,PG-13,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88.0,7.6,51018.0
42,Action Jackson,20257000,20257000,NA,7000000.0,12-Feb-88,NA,NA,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,10.0,4.6,3856.0
43,Ace Ventura: Pet Detective,72217396,107217396,NA,12000000.0,04-Feb-94,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49.0,6.6,63543.0
44,Ace Ventura: When Nature Calls,108360063,212400000,NA,30000000.0,10-Nov-95,PG-13,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,NA,5.6,51275.0
45,April Fool's Day,12947763,12947763,NA,5000000.0,27-Mar-86,NA,NA,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,NA,31.0,NA,NA
46,Among Giants,64359,64359,NA,4000000.0,26-Mar-99,R,NA,Fox Searchlight,Original Screenplay,Romantic Comedy,NA,NA,NA,5.7,546.0
